lnα,Δlnα,f_1s,f_2s,fΔlnα_1s,fΔlnα_2s
-2.7733,1.1880719999999998,2.732601824904466e-12,0.022379723759435883,3.2465277153178984e-12,0.026588723166320504
-1.585228,1.1344915,4.0496718250818345e-7,0.04105858283363881,4.594318263344828e-7,0.04658061322680914
-0.504317,1.0565025000000001,0.0004708976044188563,-0.011195162654119071,0.0004975044963125328,-0.011827717331983435
0.527777,1.0368575,0.006193580736370829,-0.058717980390156806,0.006421860638361617,-0.06088217835238701
1.569398,1.0755555,0.012657605178816684,-0.061995694466135294,0.01361395686690477,-0.06667981015937138
2.678888,1.172596,0.012735503214493418,-0.050726493344043194,0.014933600127302124,-0.05948168318925167
3.91459,1.327981,0.008660656876091946,-0.03183572836594397,0.01150118777896946,-0.042277242391134645
5.33485,1.5417094999999998,0.004577283166603161,-0.01635724106506937,0.007056840942142175,-0.025218113943807567
6.998009,1.8137804999999996,0.0020273699861251032,-0.0071905948596680475,0.003677204147118982,-0.013042160739866138
8.962411,1.9644019999999998,0.0007615458153834782,-0.0026970507730814815,0.0014959821228309352,-0.005298091932742808
